seq1_id,seq2_id,tm_score,evalue
cath|4_4_0|1aalB00,cath|4_4_0|1aw7A01,0.174000,9.568000
cath|4_4_0|1ad0B01,cath|4_4_0|1axsB01,0.940700,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1aj7H01,0.900300,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1aqkH01,0.727700,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ad9B01,0.691500,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ai1H01,0.945700,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1b2wH01,0.704600,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a6tB02,0.933600,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a6tB01,0.933600,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1afvH01,0.882500,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a0qH01,0.950000,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a4jB01,0.682800,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ae6H01,0.829100,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a3rH01,0.893700,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1aifB02,0.919300,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1aifB01,0.919300,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1b4jH01,0.692300,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|12e8H01,0.684500,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a5fH02,0.733200,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a5fH01,0.733200,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1adqH02,0.554400,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1adqH01,0.554400,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a2yB00,0.958200,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a7oH00,0.967800,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a7qH00,0.952800,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a14H00,0.916500,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ap2B00,0.890900,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1adqL02,0.801100,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1adqL01,0.801100,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a6vH00,0.898400,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1aqkL02,0.611600,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1aqkL01,0.611600,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a8jH01,0.705900,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ad9L01,0.660900,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a4jA01,0.675700,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|12e8L02,0.659000,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|12e8L01,0.659000,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ay1L01,0.549600,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ae6L01,0.578400,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1aj7L01,0.469900,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a4kA01,0.507600,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1b4jL01,0.627600,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1afvL01,0.528300,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a3rL01,0.475100,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1axsA01,0.481900,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a8jL01,0.441200,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a6tA01,0.499700,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a5fL01,0.576000,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1b6dA01,0.465900,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ad0A01,0.464100,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a0qL02,0.485500,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a0qL01,0.485500,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1aifA01,0.485400,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ao7E02,0.772300,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ai1L01,0.470400,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1a6vM00,0.787700,0.000001
cath|4_4_0|1ad0B01,cath|4_4_0|1a7qL00,0.822700,0.000002
cath|4_4_0|1ad0B01,cath|4_4_0|1a2yA00,0.800700,0.000003
cath|4_4_0|1ad0B01,cath|4_4_0|1a7pL00,0.786500,0.000005
cath|4_4_0|1ad0B01,cath|4_4_0|1ap2A00,0.782200,0.000006
cath|4_4_0|1ad0B01,cath|4_4_0|1b0wA00,0.790500,0.000006
cath|4_4_0|1ad0B01,cath|4_4_0|1ac6A00,0.815400,0.000009
cath|4_4_0|1ad0B01,cath|4_4_0|1ar2A00,0.757800,0.000004
cath|4_4_0|1ad0B01,cath|4_4_0|1a7oL00,0.788700,0.000012
cath|4_4_0|1ad0B01,cath|4_4_0|1a14L00,0.812900,0.000018
cath|4_4_0|1ad0B01,cath|4_4_0|1adqA01,0.456800,0.000000
cath|4_4_0|1ad0B01,cath|4_4_0|1ao7B00,0.818300,0.000520
cath|4_4_0|1ad0B01,cath|4_4_0|1a1nA01,0.427600,0.000003
cath|4_4_0|1ad0B01,cath|4_4_0|1a1mA01,0.438800,0.000006
cath|4_4_0|1ad0B01,cath|4_4_0|1a6aB02,0.557600,0.007174
cath|4_4_0|1ad0B01,cath|4_4_0|1a6aB01,0.557600,0.007174
cath|4_4_0|1ad0B01,cath|4_4_0|1a6zA02,0.398600,0.000363
cath|4_4_0|1ad0B01,cath|4_4_0|1a6zA01,0.398600,0.000363
cath|4_4_0|1ad0B01,cath|4_4_0|1a3qA02,0.276900,0.014750
cath|4_4_0|1ad0B01,cath|4_4_0|1a3qA01,0.276900,0.014750
cath|4_4_0|1ad0B01,cath|4_4_0|1aohB00,0.288400,0.014750
cath|4_4_0|1ad0B01,cath|4_4_0|1anuA00,0.254600,0.019070
cath|4_4_0|1ad0B01,cath|4_4_0|1acxA00,0.350100,0.249900
cath|4_4_0|1ad0B01,cath|4_4_0|1aozA03,0.321000,0.263100
cath|4_4_0|1ad0B01,cath|4_4_0|1aozA02,0.321000,0.263100
cath|4_4_0|1ad0B01,cath|4_4_0|1aozA01,0.321000,0.263100
cath|4_4_0|1ad0B01,cath|4_4_0|1a44A00,0.347700,0.487900
cath|4_4_0|1ad0B01,cath|4_4_0|1a8zA00,0.323400,0.631100
cath|4_4_0|1ad0B01,cath|4_4_0|1at0A00,0.223000,0.440200
cath|4_4_0|1ad0B01,cath|4_4_0|1a3zA00,0.368300,1.366000
cath|4_4_0|1ad0B01,cath|4_4_0|1axiB02,0.262500,0.775300
cath|4_4_0|1ad0B01,cath|4_4_0|1axiB01,0.262500,0.775300
cath|4_4_0|1ad0B01,cath|4_4_0|1a8pA02,0.460300,2.285000
cath|4_4_0|1ad0B01,cath|4_4_0|1a8pA01,0.460300,2.285000
cath|4_4_0|1ad0B01,cath|4_4_0|1ayoA00,0.302200,1.232000
cath|4_4_0|1ad0B01,cath|4_4_0|1a4aA00,0.369100,3.275000
cath|4_4_0|1ad0B01,cath|4_4_0|1azvA00,0.346800,2.170000
cath|4_4_0|1ad0B01,cath|4_4_0|1atsA03,0.378100,1.366000
cath|4_4_0|1ad0B01,cath|4_4_0|1azrA00,0.347800,3.448000
cath|4_4_0|1ad0B01,cath|4_4_0|1aym300,0.231400,0.859400
cath|4_4_0|1ad0B01,cath|4_4_0|1ayrB02,0.222400,0.952500
cath|4_4_0|1ad0B01,cath|4_4_0|1aipE03,0.222800,1.958000
cath|4_4_0|1ad0B01,cath|4_4_0|1aipE02,0.222800,1.958000
cath|4_4_0|1ad0B01,cath|4_4_0|1ag6A00,0.339200,4.695000
cath|4_4_0|1ad0B01,cath|4_4_0|1atrA03,0.324800,1.958000
cath|4_4_0|1ad0B01,cath|4_4_0|1asvA00,0.511600,7.853000
cath|4_4_0|1ad0B01,cath|4_4_0|1a21A01,0.197500,2.666000
cath|4_4_0|1ad0B01,cath|4_4_0|1aipA02,0.225000,3.111000
cath|4_4_0|1ad0B01,cath|4_4_0|1aipA01,0.225000,3.111000
cath|4_4_0|1ad0B01,cath|4_4_0|1auiA00,0.348800,4.943000
cath|4_4_0|1ad0B01,cath|4_4_0|1amiA04,0.474200,7.086000
cath|4_4_0|1ad0B01,cath|4_4_0|1amiA02,0.474200,7.086000
cath|4_4_0|1ad0B01,cath|4_4_0|1b0mA04,0.482700,7.086000
cath|4_4_0|1ad0B01,cath|4_4_0|1aznA00,0.352500,7.853000
cath|4_4_0|1ad0B01,cath|4_4_0|1aj6A00,0.225900,3.111000
cath|4_4_0|1ad0B01,cath|4_4_0|1b35A00,0.164800,1.678000
cath|4_4_0|1ad0B01,cath|4_4_0|1acoA01,0.464600,7.459000
cath|4_4_0|1ad0B01,cath|4_4_0|1aizA00,0.375700,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1ajkB00,0.128500,1.297000
cath|4_4_0|1ad0B01,cath|4_4_0|1ajqB01,0.169000,1.678000
cath|4_4_0|1ad0B01,cath|4_4_0|1b3qB03,0.246900,5.204000
cath|4_4_0|1ad0B01,cath|4_4_0|1b3qB02,0.246900,5.204000
cath|4_4_0|1ad0B01,cath|4_4_0|1acdA00,0.187200,4.236000
cath|4_4_0|1ad0B01,cath|4_4_0|1b63A02,0.233200,6.072000
cath|4_4_0|1ad0B01,cath|4_4_0|1b63A01,0.233200,6.072000
cath|4_4_0|1ad0B01,cath|4_4_0|1b3qA04,0.165400,3.448000
cath|4_4_0|1ad0B01,cath|4_4_0|1b3qA01,0.165400,3.448000
cath|4_4_0|1ad0B01,cath|4_4_0|1aqcB00,0.142900,4.695000
cath|4_4_0|1ad0B01,cath|4_4_0|1aq4A00,0.214000,6.072000
cath|4_4_0|1ad0B01,cath|4_4_0|1aqtA01,0.198000,6.072000
cath|4_4_0|1ad0B01,cath|4_4_0|1b77A00,0.119800,2.807000
cath|4_4_0|1ad0B01,cath|4_4_0|1b35C00,0.209600,5.768000
cath|4_4_0|1ad0B01,cath|4_4_0|1b23P03,0.184100,7.086000
cath|4_4_0|1ad0B01,cath|4_4_0|1b23P01,0.184100,7.086000
cath|4_4_0|1ad0B01,cath|4_4_0|1aa1L02,0.182800,4.236000
cath|4_4_0|1ad0B01,cath|4_4_0|1aa1H02,0.182800,4.236000
cath|4_4_0|1ad0B01,cath|4_4_0|1aa1E02,0.182800,4.236000
cath|4_4_0|1ad0B01,cath|4_4_0|1aa1B02,0.182800,4.236000
cath|4_4_0|1ad0B01,cath|4_4_0|1ao0A02,0.344000,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1ao0A01,0.344000,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1b37A02,0.178800,4.695000
cath|4_4_0|1ad0B01,cath|4_4_0|1b37A01,0.178800,4.695000
cath|4_4_0|1ad0B01,cath|4_4_0|1adlA00,0.209600,8.703000
cath|4_4_0|1ad0B01,cath|4_4_0|1a8mA00,0.156800,5.768000
cath|4_4_0|1ad0B01,cath|4_4_0|1auyB00,0.211900,7.853000
cath|4_4_0|1ad0B01,cath|4_4_0|1ajoA00,0.134700,3.822000
cath|4_4_0|1ad0B01,cath|4_4_0|1af7A02,0.238200,8.267000
cath|4_4_0|1ad0B01,cath|4_4_0|1af7A01,0.238200,8.267000
cath|4_4_0|1ad0B01,cath|4_4_0|1a0rB00,0.127700,4.943000
cath|4_4_0|1ad0B01,cath|4_4_0|1ausL02,0.182600,5.768000
cath|4_4_0|1ad0B01,cath|4_4_0|1amuA04,0.126300,4.024000
cath|4_4_0|1ad0B01,cath|4_4_0|1amuA03,0.126300,4.024000
cath|4_4_0|1ad0B01,cath|4_4_0|1amuA02,0.126300,4.024000
cath|4_4_0|1ad0B01,cath|4_4_0|1amuA01,0.126300,4.024000
cath|4_4_0|1ad0B01,cath|4_4_0|1b25A03,0.274100,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1b25A02,0.274100,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1b25A01,0.274100,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1accA02,0.162000,6.730000
cath|4_4_0|1ad0B01,cath|4_4_0|1atnA01,0.146200,5.768000
cath|4_4_0|1ad0B01,cath|4_4_0|1attB02,0.121500,6.072000
cath|4_4_0|1ad0B01,cath|4_4_0|1av4A03,0.173200,9.162000
cath|4_4_0|1ad0B01,cath|4_4_0|1a2vD03,0.111600,4.236000
cath|4_4_0|1ad0B01,cath|4_4_0|1a2vA03,0.112300,4.943000
cath|4_4_0|1ad0B01,cath|4_4_0|1a2dB00,0.140500,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1a18A00,0.141100,8.267000
cath|4_4_0|1ad0B01,cath|4_4_0|1aisA02,0.104100,6.072000
cath|4_4_0|1ad0B01,cath|4_4_0|1aisA01,0.104100,6.072000
cath|4_4_0|1ad0B01,cath|4_4_0|1a0iA03,0.139900,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1a0iA02,0.139900,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1a0iA01,0.139900,9.645000
cath|4_4_0|1ad0B01,cath|4_4_0|1a2vF03,0.112600,8.267000
cath|4_4_0|1ad0B01,cath|4_4_0|1a2vE03,0.112200,7.853000
cath|4_4_0|1ad0B01,cath|4_4_0|1a2vB03,0.111400,7.086000
cath|4_4_0|1agrH01,cath|4_4_0|1agrE02,1.001000,0.000000
cath|4_4_0|1agrH01,cath|4_4_0|1agrE01,1.001000,0.000000
cath|4_4_0|1agrH01,cath|4_4_0|1abvA00,0.389500,3.933000
cath|4_4_0|1agrH01,cath|4_4_0|1a41A02,0.246000,3.197000
cath|4_4_0|1agrH01,cath|4_4_0|1a41A01,0.246000,3.197000
cath|4_4_0|1agrH01,cath|4_4_0|1aueB00,0.309800,6.270000
cath|4_4_0|1agrH01,cath|4_4_0|1b4pA02,0.217200,2.882000
cath|4_4_0|1agrH01,cath|4_4_0|1b4pA01,0.217200,2.882000
cath|4_4_0|1agrH01,cath|4_4_0|170lA00,0.343500,7.713000
cath|4_4_0|1agrH01,cath|4_4_0|1aepA00,0.179500,4.362000
cath|4_4_0|1agrH01,cath|4_4_0|1b48A02,0.333700,9.488000
cath|4_4_0|1agrH01,cath|4_4_0|1b48A01,0.333700,9.488000
cath|4_4_0|1agrH01,cath|4_4_0|1allA00,0.173000,7.713000
cath|4_4_0|1ahjA00,cath|4_4_0|1b4uA00,0.391100,5.026000
cath|4_4_0|1ahjA00,cath|4_4_0|1aiuA00,0.513500,8.880000
cath|4_4_0|1ahjA00,cath|4_4_0|1ab6A00,0.374300,5.354000
cath|4_4_0|1ahjA00,cath|4_4_0|1ab5A00,0.363800,6.473000
cath|4_4_0|1ahjA00,cath|4_4_0|1aj9A00,0.333200,7.346000
cath|4_4_0|1ahjA00,cath|4_4_0|1a88A00,0.288300,5.704000
cath|4_4_0|1ahjA00,cath|4_4_0|1b0aA02,0.269200,4.429000
cath|4_4_0|1ahjA00,cath|4_4_0|1b0aA01,0.269200,4.429000
cath|4_4_0|1ahjA00,cath|4_4_0|1a04A02,0.328500,8.336000
cath|4_4_0|1ahjA00,cath|4_4_0|1a04A01,0.328500,8.336000
cath|4_4_0|1ahjA00,cath|4_4_0|1augA00,0.231500,5.354000
cath|4_4_0|1ahjA00,cath|4_4_0|1ayeA02,0.261900,7.346000
cath|4_4_0|1ahjA00,cath|4_4_0|1ayeA01,0.261900,7.346000
cath|4_4_0|1ahjA00,cath|4_4_0|1am7A00,0.156800,3.663000
cath|4_4_0|1ahjA00,cath|4_4_0|1au1B00,0.362600,8.880000
cath|4_4_0|1ahjA00,cath|4_4_0|1a53A00,0.285000,8.880000
cath|4_4_0|1ahjA00,cath|4_4_0|1b0zA02,0.235300,5.354000
cath|4_4_0|1ahjA00,cath|4_4_0|1b0zA01,0.235300,5.354000
cath|4_4_0|1ahjA00,cath|4_4_0|1a9qA00,0.164200,6.076000
cath|4_4_0|1ahjA00,cath|4_4_0|1a4iB01,0.206300,9.459000
cath|4_4_0|1ahjA00,cath|4_4_0|1a5tA03,0.150500,8.336000
cath|4_4_0|1ahjA00,cath|4_4_0|1a5tA02,0.150500,8.336000
cath|4_4_0|1ahjA00,cath|4_4_0|1a5tA01,0.150500,8.336000
cath|4_4_0|1ahjA00,cath|4_4_0|1auoA00,0.161000,8.336000
cath|4_4_0|1adqH01,cath|4_4_0|1adqH02,1.004000,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1aqkH01,0.655900,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ad9B01,0.702000,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|12e8H01,0.673200,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a4jB01,0.700700,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1b2wH01,0.697200,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1b4jH01,0.687500,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ai1H01,0.547500,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1afvH01,0.566800,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1axsB01,0.545800,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1aifB02,0.553600,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1aifB01,0.553600,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ae6H01,0.580200,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a6tB02,0.560500,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a6tB01,0.560500,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1aj7H01,0.531300,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a5fH02,0.620900,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a5fH01,0.620900,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a7oH00,0.928900,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a0qH01,0.557200,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a3rH01,0.550800,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a7qH00,0.929400,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a2yB00,0.933300,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ap2B00,0.913500,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a14H00,0.897500,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a6vH00,0.865900,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1aqkL02,0.669100,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1aqkL01,0.669100,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1aifA01,0.729200,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1aj7L01,0.711000,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a8jL01,0.699600,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1b6dA01,0.701500,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1axsA01,0.694300,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ad0A01,0.680000,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a3rL01,0.675900,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a4kA01,0.650100,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1afvL01,0.695000,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a6tA01,0.666900,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ai1L01,0.680100,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a5fL01,0.633400,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a4jA01,0.551400,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ad9L01,0.559100,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ay1L01,0.597400,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ao7E02,0.508200,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a0qL02,0.645800,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a0qL01,0.645800,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|12e8L02,0.515600,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|12e8L01,0.515600,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ae6L01,0.569600,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1a8jH01,0.413800,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1adqL02,0.433300,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1adqL01,0.433300,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1b4jL01,0.543600,0.000000
cath|4_4_0|1adqH01,cath|4_4_0|1ac6A00,0.816100,0.000002
cath|4_4_0|1adqH01,cath|4_4_0|1a2yA00,0.780300,0.000007
cath|4_4_0|1adqH01,cath|4_4_0|1a7oL00,0.794400,0.000024
cath|4_4_0|1adqH01,cath|4_4_0|1a7pL00,0.776500,0.000018
cath|4_4_0|1adqH01,cath|4_4_0|1b0wA00,0.765500,0.000021
cath|4_4_0|1adqH01,cath|4_4_0|1a7qL00,0.783900,0.000039
cath|4_4_0|1adqH01,cath|4_4_0|1a6vM00,0.712500,0.000019
cath|4_4_0|1adqH01,cath|4_4_0|1ar2A00,0.765700,0.000055
cath|4_4_0|1adqH01,cath|4_4_0|1ap2A00,0.732500,0.000058
cath|4_4_0|1adqH01,cath|4_4_0|1a14L00,0.780300,0.000147
cath|4_4_0|1adqH01,cath|4_4_0|1adqA01,0.422700,0.000001
cath|4_4_0|1adqH01,cath|4_4_0|1ao7B00,0.726800,0.002237
cath|4_4_0|1adqH01,cath|4_4_0|1a6aB02,0.720200,0.002893
cath|4_4_0|1adqH01,cath|4_4_0|1a6aB01,0.720200,0.002893
cath|4_4_0|1adqH01,cath|4_4_0|1a1nA01,0.699500,0.003937
cath|4_4_0|1adqH01,cath|4_4_0|1a1mA01,0.357900,0.001918
cath|4_4_0|1adqH01,cath|4_4_0|1a6zA02,0.375000,0.006580
cath|4_4_0|1adqH01,cath|4_4_0|1a6zA01,0.375000,0.006580
cath|4_4_0|1adqH01,cath|4_4_0|1a3qA02,0.480000,0.105400
cath|4_4_0|1adqH01,cath|4_4_0|1a3qA01,0.480000,0.105400
cath|4_4_0|1adqH01,cath|4_4_0|1aohB00,0.276200,0.022570
cath|4_4_0|1adqH01,cath|4_4_0|1axiB02,0.260000,0.081530
cath|4_4_0|1adqH01,cath|4_4_0|1axiB01,0.260000,0.081530
cath|4_4_0|1adqH01,cath|4_4_0|1anuA00,0.256800,0.044020
cath|4_4_0|1adqH01,cath|4_4_0|1a21B02,0.292700,0.294500
cath|4_4_0|1adqH01,cath|4_4_0|1aozA03,0.410800,0.467500
cath|4_4_0|1adqH01,cath|4_4_0|1aozA02,0.410800,0.467500
cath|4_4_0|1adqH01,cath|4_4_0|1aozA01,0.410800,0.467500
cath|4_4_0|1adqH01,cath|4_4_0|1a21A01,0.295900,0.343500
cath|4_4_0|1adqH01,cath|4_4_0|1a4aA00,0.343000,0.467500
cath|4_4_0|1adqH01,cath|4_4_0|1azrA00,0.347100,0.911600
cath|4_4_0|1adqH01,cath|4_4_0|1a44A00,0.426800,2.183000
cath|4_4_0|1adqH01,cath|4_4_0|1acxA00,0.303400,0.865900
cath|4_4_0|1adqH01,cath|4_4_0|1aipE03,0.222500,0.636300
cath|4_4_0|1adqH01,cath|4_4_0|1aipE02,0.222500,0.636300
cath|4_4_0|1adqH01,cath|4_4_0|1ayoA00,0.306100,1.120000
cath|4_4_0|1adqH01,cath|4_4_0|1at0A00,0.232200,0.742300
cath|4_4_0|1adqH01,cath|4_4_0|1a3zA00,0.369300,2.074000
cath|4_4_0|1adqH01,cath|4_4_0|1ayrB02,0.254600,0.959600
cath|4_4_0|1adqH01,cath|4_4_0|1aipA02,0.222500,0.742300
cath|4_4_0|1adqH01,cath|4_4_0|1aipA01,0.222500,0.742300
